List,Name,ID
MageLightiningSkillsList,Thunder burst,733
MageLightiningSkillsList,Thunder blast,735
MageLightiningSkillsList,Discharge,739
MageLightiningSkillsList,Charged Blade,742
MageLightiningSkillsList,Specter of Thunder,743
MageLightiningSkillsList,Thundercloud,745
MageLightiningSkillsList,Immunity Lightning,748
MageLightiningSkillsList,Static Orb,751
MageLightiningSkillsList,Static Thorn,754
MageLightiningSkillsList,Manes of Thunder,756
MageLightiningSkillsList,Thunder Impact,757
MageLightiningSkillsList,Static Nova,760
MageLightiningSkillsList,Light Shock,762
MageLightiningSkillsList,Stun Cloud,770
MageLightiningSkillsList,Chain lightning,771
MageLightiningSkillsList,Light Staff,772
MageLightiningSkillsList,Blink,774
MageMasterSkillsList,Absolute Power,802
MageMasterSkillsList,Guard Summon,826
WarriorBasicSkillsList,Stroke,1
WarriorBasicSkillsList,Slash,3
WarriorBasicSkillsList,Crash,5
WarriorBasicSkillsList,Piercing,9
WarriorAttackSkillsList,Hash,500
WarriorAttackSkillsList,Hoodwink,505
WarriorAttackSkillsList,Shear,510
WarriorAttackSkillsList,Pierce,515
WarriorAttackSkillsList,Leg Cutting,520
WarriorAttackSkillsList,Carving,525
WarriorAttackSkillsList,Sever,530
WarriorAttackSkillsList,Prick,535
WarriorAttackSkillsList,Multiple Shock,540
WarriorAttackSkillsList,Cleave,545
WarriorAttackSkillsList,Mangling,550
WarriorAttackSkillsList,Thrust,555
WarriorAttackSkillsList,Sword Aura,557
WarriorAttackSkillsList,Sword Dancing,560
WarriorAttackSkillsList,Howling Sword,570
WarriorAttackSkillsList,Blooding,575
WarriorAttackSkillsList,Hell Blade,580
WarriorDeffenceSkillsList,Hinder,605
WarriorDeffenceSkillsList,Resist,610
WarriorDeffenceSkillsList,Arrest,615
WarriorDeffenceSkillsList,Endure,620
WarriorDeffenceSkillsList,Binding,630
WarriorDeffenceSkillsList,Bulwark,635
WarriorDeffenceSkillsList,Immunity,640
WarriorDeffenceSkillsList,Provoke,645
WarriorDeffenceSkillsList,Descent,650
WarriorDeffenceSkillsList,Evading,655
WarriorDeffenceSkillsList,Sacrifice,660
WarriorDeffenceSkillsList,Iron Skin,670
WarriorPassionSkillsList,Pain Killer,710
WarriorPassionSkillsList,Blade of Hate,725
WarriorPassionSkillsList,Nimble Wind,735
WarriorPassionSkillsList,Quake,760
WarriorPassionSkillsList,Berserk Echo,770
WarriorPassionSkillsList,Cry Echo,782
WarriorMasterSkillsList,Scream,802
WarriorMasterSkillsList,Exceed Break,815
WarriorMasterSkillsList,Shock Stun,820
WarriorSupportSkillsList,Sprint,2
WarriorSupportSkillsList,Defense,7
WarriorSupportSkillsList,Gain,705
WarriorSupportSkillsList,Rise,710
WarriorSupportSkillsList,Outrage,720
WarriorSupportSkillsList,Restoration,730
WarriorSupportSkillsList,Blaze Killer,731
WarriorSupportSkillsList,Return to Life,740
WarriorSupportSkillsList,Regeneration,750
WarriorSupportSkillsList,Frenzy,755
WarriorSupportSkillsList,Berserker,770
WarriorSupportSkillsList,HP Booster,780
WarriorSupportSkillsList,Battle Cry,783
WarriorSupportSkillsList,Wall of Iron,675
WarriorSupportSkillsList,Iron Body,680
