ID,Name,Description
128420000,Restricted Diet Raum,"<b><font color=@#FFCC33@>Cursed Soul in Krowaz’s second army</font> </b><b><font color=@#FFCC33@>He is surprisingly good at stealing items.</font> <font color=@#3399FF@>....When Logos got rid of our tribe,..</font> </b><b><font color=@#3399FF@>...Raum’s very smile was like fire</font> </b>-From Draki’s dead body.."
128421000,Restricted Diet Raum,"<b><font color=@#FFCC33@>Cursed Soul in Krowaz’s second army</font> </b><b><font color=@#FFCC33@>He is surprisingly good at stealing items.</font> <font color=@#3399FF@>....When Logos got rid of our tribe,..</font> </b><b><font color=@#3399FF@>...Raum’s very smile was like fire</font> </b>-From Draki’s dead body.."
128430000,Weak Giant Raum,"<b><font color=@#FFCC33@>Cursed Soul in Krowaz’s second army</font> </b><b><font color=@#FFCC33@>He is surprisingly good at stealing items.</font> <font color=@#3399FF@>....When Logos got rid of our tribe,..</font> </b><b><font color=@#3399FF@>...Raum’s very smile was like fire</font> </b>-From Draki’s dead body.."
128431000,Weak Giant Raum,"<b><font color=@#FFCC33@>Cursed Soul in Krowaz’s second army</font> </b><b><font color=@#FFCC33@>He is surprisingly good at stealing items.</font> <font color=@#3399FF@>....When Logos got rid of our tribe,..</font> </b><b><font color=@#3399FF@>...Raum’s very smile was like fire</font> </b>-From Draki’s dead body.."
128440000,Lousy Pickpocket Raum,"<b><font color=@#FFCC33@>Cursed Soul in Krowaz’s second army</font> </b><b><font color=@#FFCC33@>He is surprisingly good at stealing items.</font> <font color=@#3399FF@>....When Logos got rid of our tribe,..</font> </b><b><font color=@#3399FF@>...Raum’s very smile was like fire</font> </b>-From Draki’s dead body.."
128441000,Lousy Pickpocket Raum,"<b><font color=@#FFCC33@>Cursed Soul in Krowaz’s second army</font> </b><b><font color=@#FFCC33@>He is surprisingly good at stealing items.</font> <font color=@#3399FF@>....When Logos got rid of our tribe,..</font> </b><b><font color=@#3399FF@>...Raum’s very smile was like fire</font> </b>-From Draki’s dead body.."
128910000,Noah Undefeatable Raum,"<b><font color=@#FFCC33@>A NightMare in Marce Krowaz’s second army</font>  </b><b><font color=@#FFCC33@>He is surprisingly good at stealing items.</font>  <font color=@#3399FF@>....When Logos got rid of our tribe,..</font> </b><b><font color=@#3399FF@>.."
128920000,Noah Restricted Diet Raum,"<b><font color=@#FFCC33@>A NightMare in Marce Krowaz’s second army</font>  </b><b><font color=@#FFCC33@>He is surprisingly good at stealing items.</font>  <font color=@#3399FF@>....When Logos got rid of our tribe,..</font> </b><b><font color=@#3399FF@>.."
128930000,Noah Weak Giant Raum,"<b><font color=@#FFCC33@>A NightMare in Marce Krowaz’s second army</font>  </b><b><font color=@#FFCC33@>He is surprisingly good at stealing items.</font>  <font color=@#3399FF@>....When Logos got rid of our tribe,..</font> </b><b><font color=@#3399FF@>.."
128940000,Noah Lousy Pickpocket Raum,"<b><font color=@#FFCC33@>A NightMare in Marce Krowaz’s second army</font>  </b><b><font color=@#FFCC33@>He is surprisingly good at stealing items.</font>  <font color=@#3399FF@>....When Logos got rid of our tribe,..</font> </b><b><font color=@#3399FF@>.."
129101000,Hanguk Sword,Crafted by the artisans  of Chosun. Has mysterious powers.
129102000,Baal’s Soul Stone,"A sword made from a Magical stone.  This stone does have the ability  to greatly empower its user,  but! The problem is its low  durablity."
129111000,Hanguk Sword,Crafted by the artisans of Chosun.  Has mysterious powers.
129121000,Noah Hanguk Sword,Crafted by the artisans of  Chosun.  Has mysterious powers.
129201000,Nameless White Cherry Blossom,It is said that the knife  is cursed during production  by filling it with the sap of cherry  blossom from battle fields filled  with dead bodies.
130110000,Stone Axe,
130210000,Hand Axe,A light axe that can be  wielded with one hand.
130250000,Wood Cutter,Axe
130410000,Double Axe,A double-edged hand axe.
130450000,Large Axe,Axe
130451000,Large Axe,
130610000,Bipennis,"Similar to double axe,  "
130650000,Warrior Axe,Axe
130651000,Warrior Axe,
130710000,Military Pick,A small hand axe made  especially for hunting.
130712000,Military Pick,A small professional axe  which aims at hunting.  A popular addition.  Sells cheaply to NPC merchants...
130810000,Cleaver Axe,"Similar to double axe,  but this axe has a particular  pattern engraved on its center."
130910000,Wrist Cutter,"A small, fast hand axe  that is used to sever the  enemy’s wrist. "
130912000,Wrist Cutter,A small axe which aims at rapidly  cutting enemy’s wrists.  A popular addition.  Sells cheaply to NPC merchants...
131010000,Tomahawk,A hand axe mainly used  by the natives.
131011000,Tomahawk,A hand axe mainly used  by the natives.
131110000,Deep Scar,A one-handed axe that  is easiest to inflict deep  bleeding wounds on the enemies.
131111000,Deep Scar,A one-handed axe that  is easiest to inflict deep  bleeding wounds on the enemies.
131210000,Exceptional Deep Scar,A one-handed axe that  is easiest to inflict deep  bleeding wounds on the enemies.
131211000,Exceptional Deep Scar,A one-handed axe that  is easiest to inflict deep  bleeding wounds on the enemies.
131510000,Cyclops Giant Arrow,
131610000,Attila Axe,
131710000,Dreadmare Axe,Monster Weapon
135310000,Battle Axe,A hefty two-handed axe  that only a Troll might  be able to wield.
135350000,War Axe,Two-handed axe
135510000,Timber Axe,A two-handed axe that  can cut a whole tree  with a single chop.
135550000,Lumber Axe,Two-handed axe
135620000,Chinese Flag,
135621000,Gold Trophy,
135622000,Silver Trophy,
135623000,Bronze Trophy,
135624000,Tea Guk Ki,Republic of Korea!
135625000,Gold Trophy,Gold Trophy
135626000,Silver Trophy,Silver Trophy
135627000,Bronze Trophy,Bronze Trophy
135628000,Gold Trophy,Gold Trophy
135629000,Silver Trophy,Silver Trophy
135630000,Bronze Trophy,Bronze Trophy
135710000,Twin Axe,"A two-handed axe with  long, twin blades."
135712000,Twin Axe,Two-handed axe with long blades.  A popular addition.  Sells cheaply to NPC merchants...
135750000,Tabar,Two-handed axe
135751000,Tabar,
135810000,Great Axe,An axe made only for  chopping downward.
135812000,Great Axe,"An axe made only for chopping  downward. It was added as a popular  addition, and sold at cheap prices  to NPC mechants."
135820000,Turkish Flag,
135830000,American Flag,
135840000,Canadian Flag,
135850000,German Flag,
135860000,Danish Flag,
135870000,Polish Flag,
135880000,Korean Flag,
135890000,Chinese Flag,
135900000,Japanese Flag,
135910000,Broad Axe,A two-handed axe that  can also be swung about  with its broad blade.
135912000,Broad Axe,"A two-handed axe that can also  be swung about with its broad  blades.  It was added as a popular addition,  and sold at cheap prices to  NPC mechants."
135920000,Candy Greatsword,Christmas Event 
135930000,Candy Bow,Christmas Event 
135940000,Candy Dagger,Christmas Event 
135950000,Candy Cane,Christmas Event 
135960000,Candy Mace,Christmas Events 2014
136010000,Bone Axe,An axe that was named  for its ability to cut  through to the bones  with one stroke.
136012000,Bone Axe,An axe whose name implies  that a single swing can cut bones.  A popular addition.  Sells cheaply to NPC merchants...
136020000,Candy Greatsword,Christmas Event 
136030000,Candy Bow,Christmas Event 
136040000,Candy Dagger,Christmas Event 
136060000,Candy Mace for Priest,Christmas Event 
136110000,Bone Cleaver,An axe that was named  for its ability to cut  through to the bones  with one stroke.
136111000,Bone Cleaver,An axe that was named  for its ability to cut  through to the bones  with one stroke.
136112000,Bone Cleaver,An axe whose name implies  that a single swing can cut bones.  A popular addition. Sells  cheaply to NPC merchants...
136122000,Bone Cleaver,An axe whose name implies that  a single swing can cut bones.  A popular addition.  Sells cheaply to NPC merchants...
136210000,Blade Axe,A two-handed axe famous  for its keen blade.
136211000,Blade Axe,A two-handed axe famous  for its keen blade.
136310000,Exceptional Blade Axe,A two-handed axe famous  for its keen blade.
136311000,Exceptional Blade Axe,A two-handed axe famous  for its keen blade.
136320000,Hepa’s Mirage Dagger,A dagger of mirage.
136330000,Hepa’s Shard,A dagger meaning sharply  broken fragment.
136340000,Hepa’s Exceptional Shard,A dagger meaning sharply  broken fragment.
136350000,Hepa’s Slayer,A sword for hunting  a specific target.
136360000,Hepa’s Graham,A sword of combativeness.
136370000,Hepa’s Exceptional Graham,A sword of combativeness.
136380000,Hepa’s Durandal,The sword said to be given  to the best knight  of the Twelve Paladins.
136390000,Hepa’s Mirage,Seeing this sword brandished  about is like looking  at a mirage.
136400000,Hepa’s Exceptional Mirage,Seeing this sword brandished  about is like looking  at a mirage.
136410000,Hepa’s Tomahawk,A hand axe mainly used  by the natives.
136420000,Hepa’s Deep Scar,A one-handed axe that  is easiest to inflict deep  bleeding wounds on the enemies.
136430000,Hepa’s Exceptional Deep Scar,A one-handed axe that  is easiest to inflict deep  bleeding wounds on the enemies.
136440000,Hepa’s Bone Cleaver,An axe that was named  for its ability to cut  through to the bones  with one stroke.
136450000,Hepa’s Blade Axe,A two-handed axe famous  for its keen blade.
136460000,Hepa’s Exceptional Blade Axe,A two-handed axe famous  for its keen blade.
136470000,Hepa’s Bone Crasher,An axe used to hear the  bone screaming.
136480000,Hepa’s Impact,An axe that stuns the  enemy with extremely  powerful impact.
136490000,Hepa’s Exceptional Impact,An axe that stuns the  enemy with extremely  powerful impact.
136500000,Hepa’s Totemic Club,A club or mace bestowed  with powers of sorcery.
136510000,Hepa’s Iron Impact,A weapon that can hardly  be seen as a simple  two-handed hammer.
136520000,Hepa’s Exceptional Iron Impact,A weapon that can hardly  be seen as a simple  two-handed hammer.
136530000,Hepa’s Harpoon,A spear that is for stabbing  like a harpoon.
136540000,Hepa’s Totemic Spear,A powerful one-handed spear  that deals double  damage due to sorcery.
136550000,Hepa’s Exceptional Totemic Spear,A powerful one-handed spear  that deals double  damage due to sorcery.
136560000,Hepa’s Glave,"A two-handed weapon that is  a cross between war hammer  and bill, it can be both  slash or stab."
136570000,Hepa’s Raptor,Strong Scythe-type weapon  whose violence can also  affects yourself.
136580000,Hepa’s Exceptional Raptor,Strong Scythe-type weapon  whose violence can also  affects yourself.
136590000,Hepa’s Vortex Bow,It’s a bow with increased penetration by rotating arrows
136600000,Hepa’s Iron Bow,A powerful bow that  requires great agility.
136610000,Hepa’s Exceptional Iron Bow,A powerful bow that  requires great agility.
136620000,Hepa’s Salamander Staff,A Staff imbued with the  power of fiery sand.
136630000,Hepa’s Elixir Staff,A Magical Staff imbued  with the power of  immortality by using alchemy.
136640000,Hepa’s Exceptional Elixir Staff,A Magical Staff imbued  with the power of  immortality by using alchemy.
136650000,Hepa’s Priest Bone crasher,A crasher that has  been modified to be more  convenient for priests.
136660000,Hepa’s Priest Impact,An impact that has  been modified to be more  convenient for priests.
136670000,Hepa’s Exceptional Priest Impact,An impact that has  been modified to be more  convenient for priests.
136680000,Hepa’s Hoplon,"A large, round shield."
136690000,Hepa’s Sacred Shield,A shield empowered by the divine Spirits of the Piana Knights.
136700000,Hepa’s Sacred Defender,A shield empowered by the divine Spirits of the Piana Knights.
136710000,Hepa’s Tentora Shield,A shield enchanted with the magic of the Great Wizard Tentora.
136720000,Hepa’s Tentora Defender,A shield enchanted with the magic of the Great Wizard Tentora.
136730000,Hepa’s Edmont Aegis,"Legend tells of an aegis that will survive a lightning strike, summon storms and cause fear in the hearts of the people."
136740000,Hepa’s Blessing Aegis,"Legend tells of an aegis that will survive a lightning strike, summon storms and cause fear in the hearts of the people."
136750000,Boss monster 7kinds. one-hand[for Mammoth],One-hand sword
136760000,Shield[Mammoth],Shield
136770000,Falchion[Mammoth],Two-hand spear
136780000,Spear[Mammoth],One-hand spear
136790000,Three-shooter vulcan[Boomboom],Two-hand blunt
136800000,Cannon[Boomboom],One-hand blunt
136810000,Plwitoon Claw,Jamadhar
136820000,Weapon1,
136830000,Weapon2,
136860000,,
137320000,Hepa’s Mirage Dagger,A dagger of mirage.
137330000,Hepa’s Shard,A dagger meaning sharply  broken fragment.
137340000,Hepa’s Exceptional Shard,A dagger meaning sharply  broken fragment.
137350000,Hepa’s Slayer,A sword for hunting  a specific target.
137360000,Hepa’s Graham,A sword of combativeness.
137370000,Hepa’s Exceptional Graham,A sword of combativeness.
137380000,Hepa’s Durandal,The sword said to be given  to the best knight  of the Twelve Paladins.
137390000,Hepa’s Mirage,Seeing this sword brandished  about is like looking  at a mirage.
137400000,Hepa’s Exceptional Mirage,Seeing this sword brandished  about is like looking  at a mirage.
137410000,Hepa’s Tomahawk,A hand axe mainly used  by the natives.
137420000,Hepa’s Deep Scar,A one-handed axe that  is easiest to inflict deep  bleeding wounds on the enemies.
137430000,Hepa’s Exceptional Deep Scar,A one-handed axe that  is easiest to inflict deep  bleeding wounds on the enemies.
137440000,Hepa’s Bone Cleaver,An axe that was named  for its ability to cut  through to the bones  with one stroke.
137450000,Hepa’s Blade Axe,A two-handed axe famous  for its keen blade.
137460000,Hepa’s Exceptional Blade Axe,A two-handed axe famous  for its keen blade.
137470000,Hepa’s Bone Crasher,An axe used to hear the  bone screaming.
137480000,Hepa’s Impact,An axe that stuns the  enemy with extremely  powerful impact.
137490000,Hepa’s Exceptional Impact,An axe that stuns the  enemy with extremely  powerful impact.
137500000,Hepa’s Totemic Club,A club or mace bestowed  with powers of sorcery.
137510000,Hepa’s Iron Impact,A weapon that can hardly  be seen as a simple  two-handed hammer.
137520000,Hepa’s Exceptional Iron Impact,A weapon that can hardly  be seen as a simple  two-handed hammer.
137530000,Hepa’s Harpoon,A spear that is for stabbing  like a harpoon.
137540000,Hepa’s Totemic Spear,A powerful one-handed spear  that deals double  damage due to sorcery.
137550000,Hepa’s Exceptional Totemic Spear,A powerful one-handed spear  that deals double  damage due to sorcery.
137560000,Hepa’s Glave,"A two-handed weapon that is  a cross between war hammer  and bill, it can be both  slash or stab."
137570000,Hepa’s Raptor,Strong Scythe-type weapon  whose violence can also  affects yourself.
137580000,Hepa’s Exceptional Raptor,Strong Scythe-type weapon  whose violence can also  affects yourself.
137590000,Hepa’s Vortex Bow,It’s a bow with increased penetration by rotating arrows
137600000,Hepa’s Iron Bow,A powerful bow that  requires great agility.
137610000,Hepa’s Exceptional Iron Bow,A powerful bow that  requires great agility.
137620000,Hepa’s Salamander Staff,A Staff imbued with the  power of fiery sand.
137630000,Hepa’s Elixir Staff,A Magical Staff imbued  with the power of  immortality by using alchemy.
137640000,Hepa’s Exceptional  Elixir Staff,A Magical Staff imbued  with the power of  immortality by using alchemy.
137650000,Hepa’s Priest Bone crasher,A crasher that has  been modified to be more  convenient for priests.
137660000,Hepa’s Priest Impact,An impact that has  been modified to be more  convenient for priests.
137670000,Hepa’s Exceptional Priest Impact,An impact that has  been modified to be more  convenient for priests.
137710000,Hepa’s Tentora Shield,"A large, round shield."
137720000,Hepa’s Tentora Defender,A shield empowered by the divine Spirits of the Piana Knights.
137730000,Hepa’s Edmont Aegis,A shield empowered by the divine Spirits of the Piana Knights.
137740000,Hepa’s Blessing Aegis,A shield enchanted with the magic of the Great Wizard Tentora.
139301000,Avedon,"According to legend,  this axe will lead to  the destruction of the world."
139311000,Avedon,"According to legend,  this axe will lead to the  destruction of the world."
139321000,Noah Abardon,"According to legend,  this axe will lead to  the destruction of the world."
