ID,Name,Level
604,Machirodus,43
605,Megantereon,45
607,Berk,71
608,Barkira,79
609,Sabertooth,41
610,Machirodus,43
611,Megantereon,47
612,Beast,47
613,Bloodon,60
614,Smilda,32
615,Bloodon,32
616,Hell Hound,57
617,Berk,71
618,Barkira,79
619,Berk,71
620,Barkira,79
650,Smilodon,39
652,Wild Smilodon,42
653,Sabertooth,43
654,Machirodus,43
655,Megantereon,45
657,Berk,71
658,Barkira,79
664,Smilda,32
666,Hell Hound,57
670,Smilodon,39
672,Wild Smilodon,42
700,Worm,1
701,Earth Worm,2
702,Blood Worm,4
704,Carrion Crawler,7
705,Snatcher,8
750,Worm,1
751,Earth Worm,2
752,Blood Worm,4
754,Carrion Crawler,7
755,Snatcher,8
800,Bandicoot,2
801,Wild Bandicoot,7
802,Scavenger Bandicoot,8
803,Rabid Bandicoot,18
804,Cannibal Bandicoot,12
805,Small Bandicoot,1
806,Panzer Bin,40
850,Bandicoot,2
851,Wild Bandicoot,7
852,Scavenger Bandicoot,8
853,Rabid Bandicoot,18
854,Cannibal Bandicoot,12
855,Small Bandicoot,1
856,Panzer Bin,40
871,Solid Bin,43
900,Scorpion,31
902,Striper,31
903,Pincer,33
904,Paralyzer,38
905,Stinger,34
906,Antares,69
907,Shaula,82
908,Lesath,82
909,Striper,47
910,Pincer,34
911,Paralyzer,39
912,Stinger,41
913,Killer Beatle,29
914,Shaula,82
915,Antares,69
916,Shaula,82
917,Lesath,82
918,Antares,69
919,Shaula,82
920,Lesath,82
950,Scorpion,31
952,Striper,31
953,Pincer,33
954,Paralyzer,38
955,Stinger,34
956,Antares,69
957,Shaula,82
958,Lesath,82
959,Antares,69
963,Killer Beatle,29
970,Scorpion,31
973,Pincer,33
974,Paralyzer,38
1000,Zombie,29
1001,Decayed Zombie,28
1002,Battalion,50
1003,Rotten Eyes,35
1004,Undying,40
1005,Hyde,70
1006,Hyde,70
1007,Hyde,70
1008,Hyde,70
1050,Zombie,29
1051,Decayed Zombie,28
1052,Battalion,50
1053,Rotten Eyes,35
1054,Undying,40
1055,Hyde,70
1056,Battalion,50
1057,Rotten Eyes,35
1058,Undying,40
1100,Skeleton,30
1101,Skeleton Warrior,35
1102,Skeleton Knight,36
1103,Skeleton Champion,39
1104,Death Knight,45
1105,Skeleton Lord,71
1106,Bone Collecter,79
1107,Dragon Tooth,83
1108,Skeleton Warrior,35
1109,Skeleton Knight,36
1110,Skeleton Champion,43
1111,Death Knight,49
1112,Death Knight,45
1113,Ash Knight,54
1114,Dragon Tooth Knight,58
1115,Bone Collecter,79
1116,Dragon Tooth,83
1117,Bone Collecter,79
1118,Dragon Tooth,83
1150,Skeleton,30
1151,Skeleton Warrior,35
1152,Skeleton Knight,36
1153,Skeleton Champion,39
1154,Death Knight,45
1155,Skeleton Lord,71
1156,Bone Collecter,79
1157,Dragon Tooth,83
1162,Death Knight,45
1163,Ash Knight,54
1164,Dragon Tooth Knight,58
1171,Shadow,54
1180,Skeleton,30
1200,Scolar,50
1201,Sheriff,47
1202,Laird,49
1203,Baron,51
1204,Cardinal,48
1205,Duke,71
1206,Bach,80
1207,Bishop,80
1208,Sheriff,50
1209,Laird,48
1210,Baron,51
1211,Cardinal,48
1212,Duke,71
1213,Bach,80
1214,Bishop,80
1215,Duke,71
1216,Bach,80
1217,Bishop,80
1250,Scolar,50
1251,Sheriff,47
1252,Laird,49
1253,Baron,51
1254,Cardinal,48
1255,Duke,70
1256,Bach,80
1257,Bishop,80
1271,Phantom,48
1272,Phantom,48
1300,Konga,54
1301,Gaunga,56
1302,Garuna,58
1303,Haunga,57
1304,Harunga,60
1305,Javana,80
1306,Samma,86
1307,Konga,54
1308,Gaunga,58
1309,Garuna,57
1310,Haunga,58
1311,Riote,78
1312,Haunga Warrior,58
1315,Samma,86
1316,Javana,80
1317,Samma,86
1318,Javana,80
1319,Samma,86
1350,Konga,54
1351,Gaunga,56
1352,Garuna,58
1353,Haunga,57
1354,Harunga,60
1355,Javana,80
1356,Samma,86
1362,Haunga Warrior,58
1400,Attila,85
1401,Aker,85
1402,Atross,85
1403,Attila,85
1404,Attila,85
1450,Attila,85
1501,Mins,9
1502,Mins,9
1503,Mins,9
1504,Mins,9
1505,Juks,9
1506,Juks,9
1507,Juks,9
1508,Juks,9
1509,Juks,9
1601,Orc,10
1602,Orc,10
1603,Orc,10
1604,Orc,10
1605,Orc,10
1606,Orc Mage,58
1607,Orc Mage,58
1608,Orc Mage,58
1609,Orc Mage,58
1610,Orc Mage,58
1611,Orc Wizard,58
1612,Orc Wizard,58
1613,Orc Wizard,58
1614,Orc Wizard,58
1615,Orc Wizard,58
1616,Orc Magician,58
1617,Orc Magician,58
1618,Orc Magician,58
1619,Orc Magician,58
1620,Orc Magician,58
1621,Orc Alchemist,58
1622,Orc Alchemist,58
1623,Orc Alchemist,58
1624,Orc Alchemist,58
1625,Orc Alchemist,58
1626,Orc Shaman,62
1627,Orc Shaman,62
1628,Orc Shaman,62
1629,Orc Shaman,62
1630,Orc Shaman,62
1631,Orc Rogue,65
1632,Orc Rogue,65
1633,Orc Rogue,65
1634,Orc Rogue,65
1635,Orc Rogue,65
1636,Orc Warrior,73
1637,Orc Warrior,73
1638,Orc Warrior,73
1639,Orc Warrior,73
1640,Orc Warrior,73
1641,Orc Mage,58
1642,Orc Mage,58
1643,Orc Mage,58
1644,Orc Mage,58
1645,Orc Mage,58
1646,Orc Wizard,58
1647,Orc Wizard,58
1648,Orc Wizard,58
1649,Orc Wizard,58
1650,Orc Wizard,58
1651,Orc Magician,58
1652,Orc Magician,58
1653,Orc Magician,58
1654,Orc Magician,58
1655,Orc Magician,58
1656,Orc Alchemist,58
1657,Orc Alchemist,58
1658,Orc Alchemist,58
1659,Orc Alchemist,58
1660,Orc Alchemist,58
1661,Orc Shaman,62
1662,Orc Shaman,62
1663,Orc Shaman,62
1664,Orc Shaman,62
1665,Orc Shaman,62
1666,Orc Rogue,65
1667,Orc Rogue,65
1668,Orc Rogue,65
1669,Orc Rogue,65
1670,Orc Rogue,65
1671,Orc Watcher,30
1672,Dust Orc,26
1673,Lard Orc,50
1674,Orc Mage,34
1675,Orc Mage,39
1676,Orc Mage,43
1677,Orc Wizard,34
1678,Orc Wizard,39
1679,Orc Wizard,43
1680,Orc Magician,34
1681,Orc Magician,39
1682,Orc Magician,43
1683,Orc Alchemist,34
1684,Orc Alchemist,39
1685,Orc Alchemist,43
1686,Orc Shaman,44
1687,Orc Shaman,53
1688,Orc Shaman,57
1689,Orc hunter,25
1690,Orc Archer,49
1691,Orc Sniper,52
1692,Uruk Hai,55
1693,Uruk Blade,56
1694,Uruk Tron,56
1695,Orc Prisoner,28
1696,Ghost Warrior,57
1697,Orc Watcher,30
1701,Troll,79
1721,Troll,73
1722,Troll Warrior,80
1723,Troll Berserker,82
1724,Troll Captain,81
1725,Troll King,95
1726,Troll King,96
1727,Troll King,95
1731,Troll,79
1741,Troll,73
1742,Troll Warrior,80
1743,Troll Berserker,85
1744,Troll Captain,81
1751,Troll,79
1771,Troll,73
1772,Troll Warrior,80
1773,Troll Berserker,82
1774,Troll Captain,81
1775,Troll King,95
1776,Troll,73
1777,Troll,73
1821,Blood Tail,92
1822,Blood Tail,92
1823,Manticore,64
1824,Manticore,57
1825,Manticore,92
1826,Manticore,92
1827,Manticore,92
1873,Manticore,64
1874,Manticore,57
1875,Manticore,92
1876,Manticore,92
1877,Manticore,92
1901,Trap,92
2001,Lamia,57
2002,Lamiros,58
2003,Lamentation,60
2004,Princess,64
2005,Snake Queen,93
2006,Snake Queen,93
2007,Snake Queen,93
2021,Lamia,57
2022,Lamiros,58
2023,Lamentation,59
2024,Princess,64
2051,Lamia,57
2052,Lamiros,58
2053,Lamentation,60
2054,Princess,64
2055,Snake Queen,93
2071,Wraith,50
2101,Deruvish,61
2102,Apostle,69
2103,Brahman,73
2104,Paramun,76
2105,Deruvish Founder,93
2106,Deruvish Founder,93
2107,Deruvish Founder,93
2121,Deruvish,61
2122,Apostle,69
2123,Brahman,73
2124,Paramun,76
2151,Deruvish,61
2152,Apostle,70
2153,Brahman,73
2154,Paramun,76
2155,Deruvish Founder,93
2201,Harpy,69
2202,Raven Harpy,70
2203,Crimson Wing,79
2204,Falcon,80
2205,Harpy Queen,94
2206,Harpy Queen,94
2207,Harpy Queen,94
2221,Harpy,69
2222,Raven Harpy,70
2223,Crimson Wing,79
2224,Falcon,80
2251,Harpy,69
2252,Raven Harpy,70
2253,Crimson Wing,79
2254,Falcon,80
2255,Harpy Queen,94
2256,Falcon,80
2301,Succubus ,79
2302,Incubus,79
2303,Fallen Angel,81
2304,Lillime,85
2305,Lilith,83
2351,Succubus ,79
2352,Incubus,79
2353,Fallen Angel,64
2354,Lillime,85
2355,Lilith,83
2401,Stone Golem,69
2402,Giant Golem,64
2403,Dark Stone,85
2404,Titan,83
2405,Talos,94
2406,Talos,94
2407,Talos,94
2421,Stone Golem,69
2422,Giant Golem,64
2423,Dark Stone,85
2424,Titan,85
2451,Stone Golem,69
2452,Giant Golem,64
2453,Dark Stone,85
2454,Titan,83
2455,Talos,94
2501,Scura 1,93
2502,Scura 2,94
2503,Scura 3,95
2504,Scura 4,95
2505,Scura 5,95
2551,Scura 1,93
2552,Scura 2,94
2553,Scura 3,95
2554,Scura 4,95
2555,Scura 5,95
2601,Centaur,76
2602,Centaur,76
2603,Centaur Archer,90
2604,Centaur Ranger,94
2605,Centaur Sniper,93
2606,Centaur Captain,94
2607,Centaur Foal,67
2651,Centaur,76
2652,Centaur,76
2653,Centaur Archer,90
2654,Centaur Ranger,94
2655,Centaur Sniper,93
2656,Centaur Captain,94
2657,Centaur Foal,67
2673,Lard Orc,50
2690,Caitharos,94
2701,Snowman,20
2702,Snowman,26
2703,Snowman,26
2704,Snowman,26
2705,Snowman,26
2751,Snowman,20
2752,Snowman,26
2753,Snowman,26
2754,Snowman,26
2755,Snowman,26
2801,Orc Bandit Warrior,44
2802,Orc Bandit Warrior,49
2803,Orc Bandit Warrior,58
2804,Orc Bandit Archer,42
2805,Orc Bandit Archer,59
2806,Orc Bandit Archer,55
2807,Orc Bandit Sorcerer,36
2808,Orc Bandit Sorcerer,59
2809,Orc Bandit Sorcerer,59
2810,Orc Bandit Pastor,44
2811,Orc Bandit Pastor,49
2812,Orc Bandit Pastor,58
2813,Orc Bandit Officer,81
2814,Orc Bandit Officer,72
2815,Orc Bandit Officer,72
2816,Orc Bandit Officer,81
2817,Orc Bandit Leader,94
2818,Orc Bandit Leader,94
2819,Orc Bandit Leader,94
2901,Kobold,30
2902,Bugbear,26
2903,Pooka,48
2904,Goblin Bouncer,50
2905,Goblin Juggler,43
2906,Goblin Necromancer,52
2907,Goblin Chief,78
2908,Hob Goblin,56
2951,Kobold,30
2952,Bugbear,26
2953,Pooka,48
2954,Goblin Bouncer,50
2955,Goblin Juggler,43
2956,Goblin Necromancer,52
2957,Goblin Chief,78
2958,Hob Goblin,56
2959,Hob Goblin,56
2999,Goblin,30
3001,Darkmare,84
3002,Deathmare,87
3003,Shademare,93
3004,Dreadmare,93
3021,Darkmare,84
3022,Deathmare,87
3023,Shademare,93
3024,Dreadmare,94
3051,Darkmare,84
3052,Deathmare,87
3053,Shademare,93
3054,Dreadmare,93
3101,Scout,41
3151,Scout,41
3201,Football,20
3202,Remnant,20
3203,Remnant,20
3251,Rabbit,20
3252,Remnant,20
3253,Remnant,20
3301,Cave Leech,20
3351,Cave Leech,20
3371,Cave Leech,20
3401,Black Widow,41
3451,Black Widow,41
3471,Black Widow,41
3501,Gloom Hound,58
3551,Gloom Hound,58
3571,Gloom Hound,58
3601,Burning Skeleton,55
3651,Burning Skeleton,55
3671,Burning Skeleton,56
3701,Reaper,45
3751,Reaper,45
3771,Reaper,60
3801,Flame Rock,74
3851,Flame Rock,74
3871,Flame Rock,74
3891,Volcanic Rock,130
3971,Drakha,76
4001,Christmas Tree,26
4002,Refugee,20
4003,Refugee,20
4004,Refugee,20
4005,Refugee,20
4006,Refugee,20
4007,Refugee,20
4008,Refugee,20
4009,Refugee,20
4010,Refugee,20
4051,Christmas Tree,26
4052,Refugee,20
4053,Refugee,20
4054,Refugee,20
4055,Refugee,20
4056,Refugee,20
4057,Refugee,20
4058,Refugee,20
4059,El Morad Monument,60
4060,Karus Monument,60
4061,Center Mounment,70
4062,Castle Gate,70
4063,Castle Gate,70
4064,Lever,50
4065,Lever,50
4066,El Morad Monument,90
4067,Karus Monument,90
4068,Center Mounment,80
4081,Leather Scarecrow,38
4082,Chain Scarecrow,70
4083,Iron Scarecrow,80
4101,Etaroth,78
4102,Etaroth,78
4151,Etaroth,78
4152,Etaroth,78
4201,Ape,43
4251,Ape,43
4301,Tyon,45
4351,Tyon,45
4401,Hornet,53
4451,Hornet,53
4501,Lich,54
4551,Lich,54
4591,Specter,93
4592,Specter,93
4601,Gray Oozy,54
4651,Gray Oozy,54
4701,Grell,55
4751,Grell,55
4801,Lizardman,68
4802,Lizardman Warrior,76
4803,Lizardman Captain,70
4851,Lizardman,68
4852,Lizardman Warrior,76
4853,Lizardman Captain,70
4901,Mudman,76
4902,Mudman Boss,85
4951,Mudman,76
4952,Mudman Boss,85
5001,Tree Ghost,68
5002,Tree Ghost Variant,85
5003,Tree Ghost King,88
5051,Tree Ghost,68
5052,Tree Ghost Variant,85
5053,Tree Ghost King,88
5061,Dark Dragon,85
5062,Golden Dragon,68
5063,Ghost,85
5064,Red Ghost,88
5065,Tarantula,68
5066,Cannibalistic Tarantula,85
5067,[Dragon God] Chimera,88
5101,Guardian of Commander (El Morad),73
5102,Guardian of Vice Commander (El Morad),73
5151,Guardian of Commander (Karus),80
5152,Guardian of Vice Commander (Karus),71
5201,Messenger of Pathos,88
5251,Messenger of Pathos,88
5301,Ancient,46
5351,Ancient,46
5401,Treant,56
5451,Treant,56
5501,Isiloon,132
5502,Servant of Isiloon,80
5551,Isiloon,132
5552,Servant of Isiloon,80
5553,Isiloon,132
5554,Servant of Isiloon,80
5601,Servant of Isiloon,80
5651,Servant of Isiloon,80
5701,Isiloon,132
5702,Felankor,150
5801,Pride,83
5851,Pride,83
5901,Gluttony,85
5951,Gluttony,85
5999,Kaul,6
6001,Wrath,87
6051,Wrath,87
6101,Sloth,89
6151,Sloth,89
6201,Lust,95
6251,Lust,95
6301,Envy,95
6351,Envy,95
6401,Greed,97
6451,Greed,97
6501,Ultima,120
6551,Ultima,120
6601,Ashton,69
6651,Ashton,69
6701,Guard Tower,80
6751,Guard Tower,80
6801,Treasure Chest,4
6851,Treasure Chest,4
6901,Stinger,39
6902,Stegodon,47
6903,Death Knight,45
6904,Mastodon,45
6905,Watcher,50
6906,Blood Seeker,54
6907,Beast,49
6908,Bloodon,70
6909,Baron,56
6910,Cardinal,56
6911,Haunga,58
6912,Lamia,57
6913,Deruvish,62
6914,Riote,78
6915,Troll,73
6916,Lamiros,58
6917,Apostle,69
6918,Troll Warrior,80
6919,Raven Harpy,70
6920,Atross,85
6921,Stone Golem,69
6922,Giant Golem,64
6923,Darkmare,84
6924,Megantereon,45
6927,Paralyzer,45
6928,Harpy,69
6929,Dark Eyes,35
6930,Cardinal,56
6950,Lobo,70
6951,Lupus,70
6952,Lycaon,76
6953,Berk,76
6954,Barkira,78
6955,Lesath,80
6956,Shaula,80
6957,Bone Collecter,78
6958,Dragon Tooth,93
6959,Duke,76
6960,Bach,78
6961,Bishop,78
6962,Javana,78
6963,Samma,94
6964,Aker,93
7000,Kecoon Bandit,7
7001,Orc Bandit,21
7002,Orc Bandit Archer,4
7003,Orc Bandit Boss Rabuma,23
7004,Giant Rock,50
7005,Twin Ape,41
7006,Desert Haunga,50
7007,Orc Scouter,40
7008,Grief Reaper,57
7009,Desert Golem,59
7010,Ashtonian,85
7011,Rimotrian,93
7012,Cantausian,93
7013,Messenger of Pathos,98
7014,Ancient Golem,93
7015,Balrog,88
7016,Booro,86
7017,Gargoyle,76
7018,[Quest] Uruk Hai,93
7019,[Quest] Stone Golem,93
7020,[Quest] Crimson Wing,93
7021,[Quest] Apostle,93
7022,[Quest] Troll Berserker,93
7023,[Quest] Darkmare,93
7024,[Quest] Lamentation,93
7025,[Quest] Lard Orc,93
7026,[Quest] Raven Harpy,93
7027,[Quest] Giant Golem,93
7028,[Quest] Uruk Tron,93
7029,[Quest] Troll Captain,93
7030,[Quest] Falcon,93
7031,[Quest] Deathmare,93
7032,Castle Gate,20
7033,Castle Gate,50
7034,Castle Gate,80
7035,Felankor,150
7036,Dragon Servant,95
7037,Guardian,94
7038,Demonic Wizard,35
7039,Dark Soldier,35
7040,Orc Scouter,62
7041,Dark Dragon,94
7042,Golden Dragon,94
7043,Ghost,80
7044,Red Ghost,75
7045,Tarantula,78
7046,Cannibalistic Tarantula,76
7047,[Dragon God] Chimera,132
7048,Guard,120
8000,Dragon Knight,49
8001,Shade Knight,45
8002,Dragon Tooth Soldier,55
8003,Dragon Tooth Commander,61
8004,Troll Shaman,76
8005,Apostle of Piercing Cold ,79
8006,Apostle of Flame,78
8007,Doom Soldier,76
8008,Dark Knight,82
8009,Evil Wizard,78
8010,Bloodon,57
8011,Dragon Tooth Commander,65
8012,Doom Soldier,79
8013,Dark Knight,82
8014,Apostle of Piercing Cold ,76
8015,Troll Shaman,76
8016,Apostle of Flame,83
8017,Evil Wizard,79
8052,Dragon Tooth Soldier,55
8053,Dragon Tooth Commander,61
8054,Troll Shaman,76
8055,Apostle of Piercing Cold ,79
8056,Apostle of Flame,78
8060,Bloodon,60
8100,Lich King,88
8101,Cockatrice,89
8102,Lillime,88
8103,Minotaur,93
8104,Bone Dragon,85
8105,Red Dragon Hatchling,90
8106,Devabird,98
8107,Orc Archer,49
8108,Inn Hostess,71
8109,Inn Hostess,71
8110,Bridge of Summoning,90
8111,[Potion Merchant] Ruber,71
8112,[Sundries] Halber,71
8161,[Potion Merchant] Shama,71
8162,[Sundries] Ardin,71
8201,Doom Soldier,76
8202,Apostle,69
8203,Troll Warrior,80
8401,Hellfire,95
8402,Enigma,95
8403,Havoc,95
8404,Cruel,95
8405,Medichmash,84
8406,Nigmash,86
8407,Keramash,86
8408,Dreadium Fossil of Dragon,1
8409,Dragon Fossil of Draki,1
8410,Fossil Guard,55
8411,Draki’s Medic,88
8501,Dreadium Fossil of Dragon,1
8502,Dragon Fossil of Draki,1
8504,Treasure Chest,1
8505,Treasure Chest,1
8506,Ancient Cruel,1
8507,Fossil Mini Guard,32
8601,Krowaz,98
8602,Lanceman,61
8603,Soldier,65
8604,Archer,60
8605,Healer,65
8606,Magician,58
8607,Venshar,96
8608,Giga Hammer,96
8609,Cuff Binder,98
8610,Cuff Binder Spidering,85
8611,Knight of Betrayal,82
8614,Old Chest,4
8615,Lillime,88
8616,Booro,86
8617,Ashton,74
8618,Guard Tower,80
8619,Guard Tower,80
8620,Treant,82
8621,Giga Hammer’s Chest,4
8622,Cuff Binder’s Chest,4
8623,Treasure Chest,1
8624,Minotaur,84
8625,Giant Golem,82
8626,Krowaz’s Chest,4
8630,Lust,82
8631,Envy,86
8632,Greed,90
8633,Treasure Chest,1
8634,Treasure Chest,1
8635,Legendary Treasure Chest,1
8636,Legendary Treasure Chest,1
8637,Legendary Treasure Chest,1
8638,Halloween Pumpkin,20
8639,Halloween Pumpkin,20
8640,Specter of Turkey,20
8641,Christmas Tree,26
8642,Naughty Snowman,8
8643,[Field Boss] Hideous ,11
8644,[Field Boss] Kekurikang,11
8645,[Field Boss] Bandiking,11
8646,[Field Boss] Gavoltin,30
8647,[Field Boss] Keshark,23
8648,[Field Boss] Scolaid,33
8649,[Field Boss] Wolfraiger,41
8650,[Field Boss] Byzombie,42
8651,[Field Boss] Omegatron,42
8652,[Field Boss] Skelcrown,54
8653,[Field Boss] Garukonga,70
8654,[Field Boss] Lapiona,70
8655,[Field Boss] Kamicollo,70
8656,[Field Boss] Urukthrone,70
8657,[Field Boss] Alkedrada,70
8658,[Field Boss] Trethorns,73
8659,[Field Boss] Garukonga,70
8660,[Field Boss] Lapiona,70
8661,[Field Boss] Kamicollo,70
8662,[Field Boss] Urukthrone,70
8663,[Field Boss] Alkedrada,70
8664,[Field Boss] Trethorns,73
8700,Warmer,50
8701,Head Shaian,53
8702,Wood Leech,50
8703,Gagupi,53
8704,Guardian,50
8705,Sun Rising,53
8706,Dragoniti,50
8707,Dread Prime,53
8708,Dragonia,57
8709,Gouger,44
8710,Guardist,44
8711,KuriKuri,44
8712,Kecoon,44
8713,Screamer,44
8714,Kaula,44
8715,Headsha,44
8716,Deepvolf,44
8717,Lebit,44
8718,Upertaurs,50
8719,Tooth,57
8720,Captain Tooth,60
8721,Hyde,57
8722,Shubatalion,60
8723,Dragon Knight,57
8724,Shade Knight,60
8725,Orc Bow,57
8726,Orc Bow,60
8727,Loser,75
8728,Black Guard,70
8729,Orc Mage,75
8730,Kecoon Sorcerer,57
8731,Saka,62
8732,Uniblin,57
8733,Troll Shaman,57
8734,Evil Tooth,68
8735,Rampage Man,57
8736,Kingdom Orc,70
8737,Dungeon Keeper,70
8738,Oneculforal,53
8739,Onetima,50
8740,Twoculforal,53
8741,Twotima,50
8742,Treculforal,53
8743,Tretima,50
8744,Foculforal,53
8745,Fotima,50
8746,Countral,57
8747,Obelisk,44
8748,Lebit,44
8749,Full Chest,44
8750,Gripontiac,44
8751,Nerpio Chest,44
8752,Borneo Chest,44
8753,Garsio Chest,44
8754,Goddess Ymir,50
8755,Gavolt,57
8756,Hawe,60
8757,Habue,57
8758,Hase,60
8759,Hadi,57
8760,Hai,60
8761,Harp,57
8762,Alphabet,70
8763,Kedik,34
8764,Kedik Scout,34
8765,Kedik Fighter,34
8766,Kedik Raider,34
8767,Kedik Sorcerer,34
8768,Kedik Shaman,34
8769,Kecoon Crawl,34
8770,Kekurisharesause,44
8771,Cave Leech,34
8772,Black Widow,34
8773,Burning Skeleton,34
8774,Treant,34
8775,Goblin Necromancer,34
8776,Wraith,44
8777,Nerpio Chest,57
8778,Borneo Chest,70
8779,Gargoyle,57
8780,Borneo Chest,57
8781,Garsio Chest,57
8782,Centaur,62
8783,Ogrok,70
8784,Indy Archer,70
8785,Nauldion,60
8786,Date,70
8787,Shape,67
8788,One Eye,70
8789,Artikesha,70
8790,Troll,67
8791,Lagerpeton,49
8792,Laonbelisk,75
8793,Ash Knight,60
8794,Tooth,70
8795,Shadow,67
8796,Captain Tooth,70
8797,Black Guard,70
8798,Dark Knight,67
8799,Apostle of Piercing Cold ,60
8800,Revenge Knight,75
8801,Rampage Man,68
8802,Scouter,78
8803,Hirok,62
8804,Rampage Man,68
8805,Scouter,68
8806,Hirok,68
8807,Staut,68
8808,Bandit Orc,71
8809,Rampage Orc,74
8810,Etaroth,29
8811,Lobo,70
8812,Lupus,70
8813,Lycaon,76
8814,Berk,76
8815,Barkira,78
8816,Lesath,80
8817,Shaula,80
8818,Bone Collecter,78
8819,Dragon Tooth,93
8820,Duke,76
8821,Bach,78
8822,Bishop,78
8823,Javana,78
8824,Samma,94
8825,Aker,93
8826,Lavender,29
8827,Rosemary,29
8828,Castle Gate,40
8829,Castle Gate,40
8830,Castle Gate,40
8831,Dungeon Knight,70
8832,Crisis,78
8833,Crisis,78
8834,Crisis,78
8835,Crisis,78
8836,Ibexs,78
8837,Ibexs,78
8838,Ibexs,78
8839,Ibexs,78
8840,Dulian,93
8841,Grudge,94
8842,Query,93
8843,Dulian,93
8844,Grudge,93
8845,Query,93
8846,Balrog,88
8847,Booro,86
8850,Guard Summon,70
8851,Treant,55
8852,Treant,55
8853,Treant,55
8854,Ancient,46
8855,Ancient,46
8856,Ancient,46
8857,Cardinal,48
8858,Cardinal,48
8859,Cardinal,48
8860,Cardinal,48
8861,Cardinal,48
8862,Cardinal,48
8863,Dungeon Knight,70
8864,Center Mounment,70
8865,Center Mounment,80
8866,Krowaz,98
8867,Giga Hammer,96
8868,Cuff Binder,98
8900,Lobo,98
8901,Lupus,99
8902,Lycaon,97
8903,Berk,98
8904,Barkira,99
8905,Lesath,97
8906,Shaula,98
8907,Skelcrown,99
8908,Raxton,97
8909,Duke,98
8910,Bach,99
8911,Bishop,98
8912,Javana,99
8913,Samma,97
8914,Dulian,98
8915,Grudge,99
8916,Query,99
8917,Attila,99
8918,Sharpwol,93
8919,Barkira,93
8920,Lupus,93
8921,Berk,93
8922,Lobo,93
8923,Wolfhound,93
8924,Barkira,93
8925,Lycaon,93
8926,Lesath,93
8927,Samma,93
8928,Skelcrown,93
8929,Raxton,93
8930,Berk,93
8931,Shaula,93
8932,Javana,93
8933,Duke,84
8934,Lupus,87
8935,Lesath,80
8936,Shaula,80
8937,Bach,84
8938,Lycaon,87
8939,Samma,80
8940,Lobo,80
8941,Bishop,84
8942,Berk,87
8943,Barkira,80
8944,Javana,80
8945,Chaos Stone,80
8946,Chaos Stone,80
8947,Chaos Stone,80
8950,Pride,83
8951,Gluttony,85
8952,Wrath,92
8953,Sloth,96
8954,Lust,100
8955,Envy,110
8956,Greed,115
8960,Chest of Pride,1
8961,Chest of Gluttony,1
8962,Chest of Wrath,1
8963,Chest of Sloth,1
8964,Chest of Lust,1
8965,Chest of Envy,1
8966,Chest of Greed,1
9001,Boss,7
9002,Big Christmas Tree,7
